state,stage,sex,year,schools_total,students_total,teachers_total,students_per_teacher,students_per_school,teachers_per_school,schools_growth_1y,students_growth_1y,teachers_growth_1y
kedah,primary,male,2020,548,96275,4985,19.312938816449346,175.68430656934308,9.096715328467154,0.0018281535648994515,-0.006224323375792234,0.00020064205457463884
kedah,primary,male,2021,548,96543,4896,19.71875,176.17335766423358,8.934306569343066,0.0,0.0027836925473902884,-0.01785356068204614
kedah,primary,male,2022,548,96184,5087,18.90780420680165,175.5182481751825,9.282846715328468,0.0,-0.003718550283293455,0.03901143790849673
kedah,secondary_lower,female,2017,201,83140,9598,8.662221296103354,413.6318407960199,47.75124378109453,,,
kedah,secondary_lower,female,2018,201,73315,9680,7.573863636363637,364.7512437810945,48.159203980099505,0.0,-0.11817416406062065,0.008543446551364868
kedah,secondary_lower,female,2019,202,71551,9638,7.423843120979456,354.21287128712873,47.71287128712871,0.004975124378109453,-0.02406056059469413,-0.0043388429752066115
kedah,secondary_lower,female,2020,202,70704,9526,7.422212891035062,350.019801980198,47.15841584158416,0.0,-0.011837710164777571,-0.011620668188420833
kedah,secondary_lower,female,2021,203,71380,9345,7.638309256286784,351.6256157635468,46.03448275862069,0.0049504950495049506,0.009560986648563023,-0.01900062985513332
kedah,secondary_lower,female,2022,204,72060,9666,7.454996896337678,353.2352941176471,47.38235294117647,0.0049261083743842365,0.009526478005043429,0.03434991974317817
kedah,secondary_lower,male,2017,201,76472,4682,16.333190944041007,380.4577114427861,23.29353233830846,,,
kedah,secondary_lower,male,2018,201,70220,4518,15.542275343072156,349.3532338308458,22.47761194029851,0.0,-0.08175541374620776,-0.03502776591200342
kedah,secondary_lower,male,2019,202,68795,4395,15.653014789533561,340.5693069306931,21.757425742574256,0.004975124378109453,-0.020293363714041585,-0.027224435590969456
kedah,secondary_lower,male,2020,202,68488,4199,16.310550130983568,339.0495049504951,20.787128712871286,0.0,-0.004462533614361509,-0.04459613196814562
kedah,secondary_lower,male,2021,203,69836,4037,17.298984394352242,344.0197044334975,19.886699507389164,0.0049504950495049506,0.019682280107464083,-0.03858061443200762
kedah,secondary_lower,male,2022,204,71531,4017,17.80706995270102,350.6421568627451,19.691176470588236,0.0049261083743842365,0.024271149550375164,-0.0049541738915035915
kedah,secondary_upper,female,2017,201,83140,9598,8.662221296103354,413.6318407960199,47.75124378109453,,,
kedah,secondary_upper,female,2018,201,73315,9680,7.573863636363637,364.7512437810945,48.159203980099505,0.0,-0.11817416406062065,0.008543446551364868
kedah,secondary_upper,female,2019,202,71551,9638,7.423843120979456,354.21287128712873,47.71287128712871,0.004975124378109453,-0.02406056059469413,-0.0043388429752066115
kedah,secondary_upper,female,2020,202,70704,9526,7.422212891035062,350.019801980198,47.15841584158416,0.0,-0.011837710164777571,-0.011620668188420833
kedah,secondary_upper,female,2021,203,71380,9345,7.638309256286784,351.6256157635468,46.03448275862069,0.0049504950495049506,0.009560986648563023,-0.01900062985513332
kedah,secondary_upper,female,2022,204,72060,9666,7.454996896337678,353.2352941176471,47.38235294117647,0.0049261083743842365,0.009526478005043429,0.03434991974317817
kedah,secondary_upper,male,2017,201,76472,4682,16.333190944041007,380.4577114427861,23.29353233830846,,,
kedah,secondary_upper,male,2018,201,70220,4518,15.542275343072156,349.3532338308458,22.47761194029851,0.0,-0.08175541374620776,-0.03502776591200342
kedah,secondary_upper,male,2019,202,68795,4395,15.653014789533561,340.5693069306931,21.757425742574256,0.004975124378109453,-0.020293363714041585,-0.027224435590969456
kedah,secondary_upper,male,2020,202,68488,4199,16.310550130983568,339.0495049504951,20.787128712871286,0.0,-0.004462533614361509,-0.04459613196814562
kedah,secondary_upper,male,2021,203,69836,4037,17.298984394352242,344.0197044334975,19.886699507389164,0.0049504950495049506,0.019682280107464083,-0.03858061443200762
kedah,secondary_upper,male,2022,204,71531,4017,17.80706995270102,350.6421568627451,19.691176470588236,0.0049261083743842365,0.024271149550375164,-0.0049541738915035915
